model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,62087,58405,0.6794,0.6557,0.7028,0.0112,0.0096,0.0138,0.0061,0.0368,0.0027,
gradient_boosting,62087,58405,0.6209,0.5942,0.6490,0.0086,0.0075,0.0102,0.0064,0.0397,0.0034,
gradient_boosting_balanced,62087,58405,0.6276,0.6010,0.6550,0.0097,0.0083,0.0119,0.0922,0.3187,0.2348,"class_weight=balanced, otherwise defaults"
decision_tree,62087,58405,0.6062,0.5775,0.6376,0.0091,0.0079,0.0107,0.1856,0.5373,0.3510,"interpretable baseline: depth 4, balanced"
ebm_interpretml,62087,58405,0.6660,0.6417,0.6906,0.0113,0.0096,0.0140,0.0061,0.0375,0.0029,interpretable baseline: EBM defaults
pla_static,62087,58405,0.5285,0.5028,0.5585,0.0085,0.0070,0.0134,0.0062,0.1400,0.0001,"empirical precisions, noisy-OR, neutral context"
pla_learned,62087,58405,0.4905,0.4636,0.5141,0.0062,0.0055,0.0074,0.0061,0.0374,0.0007,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,62087,58405,0.4733,0.4458,0.4969,0.0058,0.0051,0.0064,0.0061,0.0375,0.0008,ablation: context weights disabled
constant_prevalence,62087,58405,0.5000,0.5000,0.5000,0.0061,0.0056,0.0067,0.0061,0.0377,0.0021,predicts training prevalence 0.004011 everywhere
problog_rules,62087,150,0.3960,0.3567,0.4262,0.0067,0.0067,0.0267,0.0067,0.2328,0.0041,subset n=150
pgmpy_naive_bayes,62087,2000,0.4320,0.3736,0.5060,0.0215,0.0081,0.0886,0.0126,0.0834,0.0093,subset n=2000
