model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,82630,32530,0.7003,0.6550,0.7411,0.0080,0.0061,0.0109,0.0040,0.0253,0.0010,
gradient_boosting,82630,32530,0.6283,0.5860,0.6695,0.0062,0.0049,0.0084,0.0043,0.0276,0.0021,
gradient_boosting_balanced,82630,32530,0.6432,0.5969,0.6849,0.0076,0.0055,0.0122,0.0947,0.3448,0.2696,"class_weight=balanced, otherwise defaults"
decision_tree,82630,32530,0.6266,0.5798,0.6653,0.0061,0.0048,0.0079,0.1787,0.5154,0.3567,"interpretable baseline: depth 4, balanced"
ebm_interpretml,82630,32530,0.6441,0.6038,0.6880,0.0067,0.0050,0.0097,0.0040,0.0273,0.0024,interpretable baseline: EBM defaults
pla_static,82630,32530,0.5381,0.4941,0.5809,0.0085,0.0038,0.0270,0.0041,0.0923,0.0010,"empirical precisions, noisy-OR, neutral context"
pla_learned,82630,32530,0.4651,0.4207,0.5097,0.0038,0.0031,0.0049,0.0040,0.0266,0.0010,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,82630,32530,0.4640,0.4234,0.5099,0.0037,0.0030,0.0045,0.0040,0.0265,0.0010,ablation: context weights disabled
constant_prevalence,82630,32530,0.5000,0.5000,0.5000,0.0040,0.0034,0.0047,0.0040,0.0262,0.0003,predicts training prevalence 0.003715 everywhere
problog_rules,82630,150,0.8490,0.7935,0.8920,0.0333,0.0263,0.1210,0.0066,0.0359,0.0046,subset n=150; max |PLA-ProbLog| = 1.2e-06
pgmpy_naive_bayes,82630,2000,0.5419,0.3601,0.7131,0.0082,0.0020,0.0307,0.0046,0.0306,0.0020,subset n=2000
