model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9796,0.9647,0.9915,0.7849,0.7086,0.8483,0.0006,0.0036,0.0003,
gradient_boosting,199364,85443,0.7159,0.6377,0.7902,0.5316,0.4387,0.6114,0.0013,0.0262,0.0009,
gradient_boosting_balanced,199364,85443,0.9598,0.9323,0.9857,0.7899,0.7246,0.8532,0.0018,0.0179,0.0148,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9074,0.8577,0.9443,0.4947,0.4216,0.5765,0.0213,0.1026,0.0696,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9815,0.9680,0.9930,0.8642,0.8038,0.9102,0.0003,0.0024,0.0002,interpretable baseline: EBM defaults
pla_static,199364,85443,0.9687,0.9500,0.9840,0.7258,0.6516,0.8014,0.0018,0.0172,0.0138,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9625,0.9381,0.9817,0.5361,0.4542,0.6217,0.0017,0.0113,0.0022,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9630,0.9396,0.9812,0.4951,0.4209,0.5790,0.0017,0.0113,0.0022,ablation: context weights disabled
problog_rules,199364,150,0.9610,0.8887,0.9994,0.8960,0.7446,0.9936,0.0439,0.1502,0.0553,subset n=150
pgmpy_naive_bayes,199364,2000,0.9322,0.7928,1.0000,0.6190,0.2695,1.0000,0.0016,0.0195,0.0016,subset n=2000
