model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9717,0.9522,0.9877,0.7507,0.6819,0.8208,0.0007,0.0043,0.0004,
gradient_boosting,199364,85443,0.6354,0.5621,0.7126,0.4483,0.3701,0.5401,0.0015,0.0323,0.0010,
gradient_boosting_balanced,199364,85443,0.9737,0.9509,0.9914,0.7209,0.6524,0.7876,0.0049,0.0540,0.0494,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9380,0.9041,0.9719,0.3304,0.2763,0.3887,0.0252,0.1142,0.0749,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9829,0.9670,0.9955,0.8609,0.8111,0.9104,0.0004,0.0025,0.0002,interpretable baseline: EBM defaults
rulefit,199364,85443,0.9537,0.9287,0.9769,0.8003,0.7433,0.8590,0.0006,0.0053,0.0005,"rule baseline: RuleFit, max_rules=30, no linear terms; 27 rules selected"
pla_static,199364,85443,0.9812,0.9700,0.9905,0.6556,0.5779,0.7293,0.0018,0.0170,0.0141,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9760,0.9595,0.9885,0.5456,0.4738,0.6211,0.0017,0.0111,0.0022,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9762,0.9606,0.9883,0.4932,0.4261,0.5627,0.0017,0.0112,0.0022,ablation: context weights disabled
constant_prevalence,199364,85443,0.5000,0.5000,0.5000,0.0017,0.0014,0.0020,0.0017,0.0126,0.0000,predicts training prevalence 0.001736 everywhere
