model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,1400,600,0.9746,0.9602,0.9857,0.8470,0.7553,0.9254,0.0413,0.1390,0.0298,
gradient_boosting,1400,600,0.9171,0.8880,0.9430,0.6352,0.5309,0.7347,0.0883,0.3750,0.0808,
gradient_boosting_balanced,1400,600,0.9197,0.8935,0.9437,0.6302,0.5219,0.7413,0.0799,0.2900,0.0712,"class_weight=balanced, otherwise defaults"
decision_tree,1400,600,0.7208,0.6668,0.7710,0.2278,0.1756,0.2981,0.1886,0.5492,0.1933,"interpretable baseline: depth 4, balanced"
ebm_interpretml,1400,600,0.9572,0.9376,0.9729,0.7640,0.6567,0.8553,0.0588,0.1917,0.0449,interpretable baseline: EBM defaults
pla_static,1400,600,0.7217,0.6579,0.7785,0.2947,0.2116,0.4000,0.1138,1.0908,0.0952,"empirical precisions, noisy-OR, neutral context"
pla_learned,1400,600,0.7227,0.6568,0.7834,0.3139,0.2257,0.4226,0.0999,0.3420,0.0290,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,1400,600,0.7187,0.6529,0.7792,0.3212,0.2388,0.4239,0.0999,0.3422,0.0307,ablation: context weights disabled
constant_prevalence,1400,600,0.5000,0.5000,0.5000,0.1250,0.1000,0.1533,0.1100,0.3802,0.0257,predicts training prevalence 0.099286 everywhere
problog_rules,1400,150,0.7416,0.6351,0.8413,0.4072,0.2585,0.5729,0.1327,1.4447,0.0704,subset n=150
pgmpy_naive_bayes,1400,600,0.7228,0.6594,0.7791,0.3288,0.2426,0.4299,0.0993,0.3405,0.0288,
