program,n_explained,mean_fired,agreement,chance_agreement,comp_trace,comp_oracle,comp_reversed,comp_random,trace_minus_rev,rev_lo,rev_hi,trace_minus_rand,rand_lo,rand_hi
0,315,7.5,0.2413,0.2541,0.1657,0.4080,0.0757,0.1642,0.0901,0.0708,0.1099,0.0015,-0.0132,0.0165
1,317,8.6,0.2808,0.2030,0.1595,0.3268,0.0593,0.1232,0.1002,0.0726,0.1293,0.0363,0.0175,0.0577
2,296,8.4,0.5068,0.2515,0.2974,0.4148,0.0654,0.1596,0.2319,0.2035,0.2594,0.1377,0.1139,0.1619
3,357,7.4,0.7311,0.2812,0.3026,0.4091,0.0749,0.1668,0.2277,0.2038,0.2527,0.1358,0.1165,0.1565
4,248,8.9,0.2903,0.2189,0.1307,0.2509,0.0598,0.1004,0.0709,0.0566,0.0877,0.0303,0.0186,0.0447
5,281,8.9,0.0534,0.2546,0.0381,0.3387,0.1386,0.1401,-0.1005,-0.1209,-0.0810,-0.1020,-0.1141,-0.0908
6,303,6.7,0.3036,0.3440,0.1269,0.2583,0.1112,0.1323,0.0157,-0.0008,0.0326,-0.0054,-0.0164,0.0060
7,326,7.9,0.3466,0.3008,0.1475,0.3307,0.0808,0.1425,0.0666,0.0461,0.0867,0.0050,-0.0124,0.0225
8,362,8.4,0.5028,0.2809,0.2306,0.3270,0.1157,0.1507,0.1149,0.0920,0.1403,0.0800,0.0635,0.0984
9,345,8.1,0.1159,0.2671,0.0685,0.2639,0.0741,0.1148,-0.0056,-0.0138,0.0033,-0.0462,-0.0520,-0.0398
10,315,7.9,0.2603,0.2173,0.1196,0.3364,0.0445,0.1428,0.0751,0.0624,0.0875,-0.0232,-0.0352,-0.0104
11,334,7.5,0.2695,0.2833,0.0910,0.2467,0.1320,0.1100,-0.0410,-0.0540,-0.0287,-0.0190,-0.0289,-0.0105
12,327,7.2,0.4924,0.2951,0.2424,0.3551,0.1118,0.1725,0.1306,0.1095,0.1521,0.0699,0.0520,0.0875
13,319,8.1,0.2069,0.2904,0.1056,0.2612,0.0792,0.1156,0.0264,0.0115,0.0426,-0.0101,-0.0218,0.0016
14,310,7.8,0.5677,0.2733,0.2451,0.3990,0.1054,0.1455,0.1397,0.1099,0.1718,0.0997,0.0752,0.1237
15,343,8.7,0.4431,0.2284,0.2572,0.3868,0.0418,0.1138,0.2154,0.1904,0.2437,0.1434,0.1218,0.1679
16,275,7.8,0.1818,0.2184,0.0667,0.2164,0.0959,0.1052,-0.0291,-0.0399,-0.0164,-0.0385,-0.0470,-0.0297
17,294,7.7,0.1667,0.3111,0.0528,0.2783,0.0693,0.0989,-0.0165,-0.0258,-0.0051,-0.0461,-0.0570,-0.0348
18,307,8.0,0.1498,0.2156,0.1040,0.3451,0.0845,0.1386,0.0195,0.0019,0.0378,-0.0346,-0.0473,-0.0202
19,374,8.7,0.2540,0.1690,0.1794,0.2955,0.0454,0.1070,0.1339,0.1125,0.1572,0.0724,0.0552,0.0925
pooled,6348,8.0,0.3240,0.2579,0.1597,0.3238,0.0830,0.1327,0.0767,0.0708,0.0814,0.0270,0.0222,0.0309
