model,level,attribution,n_explained,comprehensiveness,sufficiency,trace_minus_this,diff_lo,diff_hi
pla_static,facts,trace,48630,0.0202,0.0058,,,
pla_static,facts,reversed_control,48630,0.0166,0.0121,0.0036,0.0034,0.0038
pla_static,facts,random_control,48630,0.0184,0.0103,0.0018,0.0017,0.0019
pla_static,rules,trace,48630,0.0188,0.0066,,,
pla_static,rules,reversed_control,48630,0.0138,0.0121,0.0050,0.0048,0.0052
pla_static,rules,random_control,48630,0.0152,0.0105,0.0035,0.0034,0.0037
pla_static,rules_logit,trace,48630,11.6126,0.2140,,,
pla_static,rules_logit,reversed_control,48630,11.5429,0.3243,0.0697,0.0672,0.0720
pla_static,rules_logit,random_control,48630,11.5671,0.2872,0.0455,0.0437,0.0472
pla_learned,facts,trace,48630,0.0002,0.0001,,,
pla_learned,facts,reversed_control,48630,0.0001,0.0002,0.0001,0.0001,0.0001
pla_learned,facts,random_control,48630,0.0002,0.0002,0.0001,0.0001,0.0001
pla_learned,rules,trace,48630,0.0002,0.0001,,,
pla_learned,rules,reversed_control,48630,0.0000,0.0002,0.0002,0.0002,0.0002
pla_learned,rules,random_control,48630,0.0001,0.0002,0.0001,0.0001,0.0001
pla_learned,rules_logit,trace,48630,0.0405,0.0088,,,
pla_learned,rules_logit,reversed_control,48630,0.0101,0.0391,0.0303,0.0295,0.0311
pla_learned,rules_logit,random_control,48630,0.0223,0.0270,0.0182,0.0176,0.0187
