model,level,attribution,n_explained,comprehensiveness,sufficiency,trace_minus_this,diff_lo,diff_hi
pla_static,facts,trace,350,0.2222,0.0527,,,
pla_static,facts,reversed_control,350,0.1864,0.1016,0.0358,0.0252,0.0469
pla_static,facts,random_control,350,0.2042,0.0841,0.0180,0.0128,0.0235
pla_static,rules,trace,350,0.2006,0.0596,,,
pla_static,rules,reversed_control,350,0.1686,0.1016,0.0320,0.0236,0.0407
pla_static,rules,random_control,350,0.1806,0.0861,0.0200,0.0141,0.0264
pla_static,rules_logit,trace,350,12.2161,0.3022,,,
pla_static,rules_logit,reversed_control,350,12.0502,0.5158,0.1659,0.1241,0.2074
pla_static,rules_logit,random_control,350,12.1141,0.4334,0.1019,0.0736,0.1327
pla_learned,facts,trace,350,0.0939,0.0583,,,
pla_learned,facts,reversed_control,350,0.0807,0.0576,0.0132,0.0090,0.0182
pla_learned,facts,random_control,350,0.0876,0.0589,0.0063,0.0050,0.0077
pla_learned,rules,trace,350,0.0883,0.0583,,,
pla_learned,rules,reversed_control,350,0.0717,0.0701,0.0166,0.0136,0.0200
pla_learned,rules,random_control,350,0.0798,0.0643,0.0085,0.0067,0.0104
pla_learned,rules_logit,trace,350,0.9832,0.3931,,,
pla_learned,rules_logit,reversed_control,350,0.8353,0.5410,0.1480,0.1274,0.1731
pla_learned,rules_logit,random_control,350,0.9091,0.4672,0.0741,0.0632,0.0863
